width,serial_time,parallel_time
1004,0.646026,0.509619
1005,0.646063,0.510434
1006,0.646293,0.510457
1007,0.647990,0.511082
1008,0.648610,0.511350
1009,0.648619,0.512178
1010,0.649506,0.512571
1011,0.650668,0.512994
1012,0.650486,0.513864
1013,0.651020,0.514198
1014,0.651643,0.514710
1015,0.652468,0.515173
1016,0.653584,0.515542
1017,0.654847,0.516085
1018,0.654589,0.517124
1019,0.655309,0.517140
1020,0.655728,0.517614
1021,0.657080,0.517910
1022,0.657144,0.519264
1023,0.658425,0.519493
1024,0.657995,0.519688
1025,0.658993,0.520024
1026,0.660397,0.520665
1027,0.660500,0.521342
1028,0.660966,0.521933
1029,0.662291,0.522296
1030,0.662555,0.522722
1031,0.662781,0.523340
1032,0.663666,0.524296
1033,0.664162,0.524299
1034,0.666048,0.524886
1035,0.665359,0.525495
1036,0.665816,0.525914
1037,0.667232,0.526492
1038,0.667166,0.526994
1039,0.667941,0.527622
1040,0.668310,0.527959
1041,0.669431,0.528266
1042,0.669860,0.528944
1043,0.670106,0.529431
1044,0.671385,0.530147
1045,0.672565,0.530670
1046,0.672920,0.531085
1047,0.673912,0.531821
1048,0.674751,0.532299
1049,0.675053,0.532339
1050,0.675456,0.533001
1051,0.676246,0.533448
1052,0.676430,0.534097
1053,0.677029,0.534414
1054,0.677548,0.535083
1055,0.678281,0.535382
1056,0.678895,0.536067
1057,0.679551,0.536350
1058,0.679698,0.537200
1059,0.680900,0.537699
1060,0.685659,0.539555
1061,0.683301,0.539902
1062,0.684225,0.539349
1063,0.683565,0.540101
1064,0.687498,0.541757
1065,0.686683,0.540609
1066,0.703296,0.593178
1067,0.687731,0.546586
1068,0.689324,0.570120
1069,0.705248,0.544665
1070,0.688950,0.543635
1071,0.716256,0.546949
1072,0.694791,0.551185
1073,0.698331,0.570430
1074,0.699555,0.560489
1075,0.700236,0.563832
1076,0.699754,0.553654
1077,0.736312,0.564157
1078,0.709362,0.556700
1079,0.706393,0.591910
1080,0.700864,0.577585
1081,0.709093,0.552838
1082,0.698458,0.551118
1083,0.718631,0.575865
1084,0.700006,0.551329
1085,0.708471,0.553968
1086,0.701878,0.556074
1087,0.717340,0.558268
1088,0.702993,0.578430
1089,0.743423,0.571202
1090,0.704024,0.553756
1091,0.701685,0.554302
1092,0.704458,0.554593
1093,0.715669,0.567209
1094,0.704875,0.568706
1095,0.706052,0.602505
1096,0.708648,0.572241
1097,0.717480,0.558087
1098,0.707016,0.558079
1099,0.709148,0.568493
1100,0.724798,0.559637
1101,0.710357,0.562426
1102,0.714968,0.570973
1103,0.710127,0.561621
1104,0.710646,0.562332
1105,0.737882,0.566027
1106,0.719949,0.575318
1107,0.714716,0.568486
1108,0.760596,0.566403
1109,0.736360,0.564170
1110,0.714345,0.563808
1111,0.715607,0.564629
1112,0.716444,0.566116
1113,0.718941,0.579368
1114,0.728401,0.577125
1115,0.722833,0.580782
1116,0.748630,0.570124
1117,0.727372,0.568159
1118,0.724378,0.598886
1119,0.755427,0.603982
1120,0.729428,0.568689
1121,0.720603,0.569105
1122,0.723025,0.573136
1123,0.734573,0.585005
1124,0.730887,0.597633
1125,0.752198,0.577804
1126,0.742394,0.578920
1127,0.763471,0.594364
1128,0.765208,0.595527
1129,0.810349,0.598473
1130,0.782837,0.611984
1131,0.752950,0.593406
1132,0.770854,0.627941
1133,0.787666,0.617610
1134,0.768209,0.596428
1135,0.762437,0.600198
1136,0.772097,0.618144
1137,0.764521,0.599694
1138,0.758565,0.600536
1139,0.777950,0.603410
1140,0.762547,0.598666
1141,0.755521,0.598600
1142,0.759998,0.600106
1143,0.759994,0.600417
1144,0.765363,0.608058
1145,0.810479,0.604818
1146,0.758948,0.600332
1147,0.783011,0.645498
1148,0.769149,0.606365
